,0,1,2,3
0,10.4720007,11.7869238,8.8545052,2.01
1,11.907948,9.8392093,8.8424427,2.01
2,10.5512233,7.8371993,8.9255119,2.01
3,8.4479833,8.7955253,8.2087343,2.01
4,8.4093929,10.7198735,8.1741424,2.01
5,10.5359454,9.7874177,7.4930243,2.01
6,11.2253959,10.8262064,10.9437925,2.01
7,11.2639905,8.9018362,10.9783886,2.01
8,9.2013928,7.8347986,10.2980244,2.01
9,7.765424,9.7824888,10.3101006,2.01
10,9.1374074,9.834281,11.659505,2.01
11,9.1221726,11.7845187,10.2270133,2.01
12,10.5988941,11.9723202,10.329656,3.07
13,10.6843782,7.7102076,10.4062745,3.07
14,9.1092787,9.7549102,7.2766391,3.07
15,10.5640929,9.866819,11.8758569,3.07
16,8.9890196,11.9114982,8.7462691,3.07
17,8.3645136,8.6791659,11.1165133,3.07
18,8.3192224,10.9372245,11.0759053,3.07
19,7.5253867,9.7520983,8.8871797,3.07
20,11.3088605,10.9425242,8.0360367,3.07
21,9.0745044,7.6494258,8.8228924,3.07
22,11.3541666,8.6844962,8.0766268,3.07
23,12.1480054,9.8696312,10.2653649,3.07
